colClues,difficulty,number,rowClues,sizeCol,sizeRow,solution,title
"0 ,0 ,5,0 ,0 ,1,0 ,3,1,0 ,0 ,8,0 ,2,1,0 ,1,6,1,1,1,0 ,0 ,3,0 ,0 ,1,0 ,0 ,10",10-Feb,2849,"0 ,0 ,0 ,0 ,1,1,0 ,1,1,0 ,0 ,0 ,0 ,1,1,2,4,2,1,0 ,0 ,4,2,2,1,1,1,1,1,5,1,1,3,1,1,1,1,1,1,1",10,10,http://static.nonograms.org/files/nonograms/large/kran6_12_1_1p.png,Tap water
"0 ,1,1,0 ,0 ,4,1,1,2,0 ,4,1,0 ,6,1,0 ,6,1,0 ,6,1,0 ,6,1,0 ,6,1,0 ,0 ,8",10-Mar,2880,"2,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,9,7,10,6,6,5,1,8,1",10,10,http://static.nonograms.org/files/nonograms/large/koshka5_12_1_1p.png,Cat
"0 ,0 ,4,0 ,0 ,3,0 ,0 ,5,0 ,7,1,0 ,1,7,2,1,5,0 ,4,5,2,4,1,0 ,4,1,0 ,0 ,4",10-Mar,2874,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,2,5,4,0 ,8,5,1,0 ,2,5,3,1,3,10,1,1,3,6",10,10,http://static.nonograms.org/files/nonograms/large/ribka11_12_1_1p.png,Fish
"0 ,2,4,2,2,1,0 ,0 ,7,0 ,0 ,6,1,1,3,3,3,1,0 ,1,4,0 ,1,2,0 ,2,1,0 ,0 ,5",10-Mar,2869,"0 ,3,0 ,0 ,0 ,1,0 ,2,0 ,0 ,3,1,4,3,4,4,1,2,0 ,0 ,2,1,1,2,5,1,5,1,2,4",10,10,http://static.nonograms.org/files/nonograms/large/konkobezhec2_12_1_1p.png,Skater
"0 ,0 ,0 ,1,0 ,0 ,0 ,5,0 ,0 ,0 ,5,0 ,2,1,5,0 ,1,5,1,1,1,3,1,0 ,3,3,1,0 ,0 ,0 ,9,0 ,0 ,0 ,5,0 ,0 ,0 ,5",10-Feb,2929,"0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,1,0 ,1,5,2,9,3,10,9,9,1,5",10,10,http://static.nonograms.org/files/nonograms/large/chaynik8_12_1_1p.png,Teapot
"0 ,0 ,1,1,0 ,0 ,2,2,0 ,0 ,0 ,7,0 ,0 ,1,1,1,1,1,1,1,1,1,1,0 ,2,2,1,1,1,1,1,0 ,1,1,4,0 ,0 ,0 ,5",10-Mar,13947,"0 ,0 ,1,1,1,0 ,0 ,0 ,0 ,0 ,2,1,1,1,2,7,0 ,0 ,7,4,1,3,1,4,1,1,4",10,9,http://static.nonograms.org/files/nonograms/large/kotenok21_12_1_1p.png,Kitty
"0 ,3,3,1,1,1,0 ,0 ,4,0 ,2,2,1,2,1,0 ,0 ,1,0 ,6,2,1,1,3,2,1,1,0 ,2,1",10-Apr,7308,"0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,1,1,1,1,2,0 ,1,1,4,3,1,1,1,1,2,1,2,1,1,3,1,1,3,2,4",10,10,http://static.nonograms.org/files/nonograms/large/muravey4_12_1_1p.png,Ant
"0 ,0 ,4,0 ,1,1,1,4,1,0 ,4,4,1,5,1,0 ,4,4,3,2,3,3,2,3,0 ,4,4,0 ,0 ,10",10-Feb,2863,"0 ,0 ,0 ,0 ,1,3,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,0 ,0 ,0 ,0 ,2,1,4,2,2,4,1,4,0 ,7,5,5,2,1,1,2,7,5,7",10,10,http://static.nonograms.org/files/nonograms/large/fotoapparat4_12_1_1p.png,Camera
"0 ,0 ,2,0 ,1,1,0 ,1,1,0 ,0 ,2,1,2,1,2,2,2,3,2,3,0 ,0 ,8,0 ,0 ,6,0 ,0 ,2",10-Mar,6552,"0 ,0 ,0 ,2,1,1,2,0 ,0 ,0 ,2,4,3,2,7,7,2,3,4,2",10,10,http://static.nonograms.org/files/nonograms/large/yakor3_12_1_1p.png,Anchor
"0 ,1,0 ,1,2,1,2,1,3,2,4,3,5,4,0 ,1,0 ,8,0 ,6",10-Feb,2847,"0 ,2,3,5,7,0 ,5,3,2,0 ,1,1,2,2,2,3,2,2,1,1",10,10,http://static.nonograms.org/files/nonograms/large/korablik3_12_1_1p.png,Boat
"0 ,4,4,2,3,3,0 ,6,0 ,4,0 ,5,0 ,7,0 ,3,0 ,2,0 ,1",10-Mar,6548,"0 ,1,2,4,0 ,0 ,0 ,0 ,0 ,0 ,1,2,3,5,7,6,4,5,3,1",10,10,http://static.nonograms.org/files/nonograms/large/golub5_12_1_1p.png,Dove
"0 ,1,2,0 ,2,3,2,1,1,2,3,1,0 ,0 ,7,0 ,3,3,0 ,1,4,0 ,0 ,5,0 ,0 ,4,0 ,0 ,2",10-Mar,6536,"0 ,0 ,3,3,2,0 ,4,0 ,0 ,0 ,3,6,1,2,3,7,1,8,2,2",10,10,http://static.nonograms.org/files/nonograms/large/indyuk5_12_1_1p.png,Tom-turkey
"0 ,0 ,1,1,0 ,0 ,2,2,0 ,0 ,0 ,5,2,1,2,1,0 ,0 ,5,2,0 ,0 ,3,1,0 ,0 ,6,2,0 ,1,5,1,0 ,0 ,0 ,8,0 ,0 ,2,4",10-Mar,7289,"0 ,4,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,3,0 ,3,4,1,0 ,3,2,2,1,6,7,6,4,3,2,1,3",10,10,http://static.nonograms.org/files/nonograms/large/koshechka_12_1_1p.png,Pussycat
"0 ,0 ,3,0 ,0 ,2,0 ,1,2,0 ,2,1,0 ,1,1,0 ,3,3,1,3,2,1,4,3,0 ,4,5,0 ,2,3",10-Mar,7279,"0 ,0 ,0 ,0 ,0 ,0 ,3,1,0 ,0 ,0 ,1,2,1,2,1,1,4,1,0 ,3,2,3,4,2,3,2,3,5,3",10,10,http://static.nonograms.org/files/nonograms/large/vishnya6_12_1_1p.png,Cherry
"1,4,1,0 ,4,4,0 ,1,1,0 ,3,3,0 ,2,2,1,2,1,0 ,1,1,2,4,2,0 ,2,2,0 ,0 ,6",10-Mar,6510,"0 ,0 ,0 ,2,1,1,2,0 ,0 ,0 ,0 ,1,0 ,1,1,1,1,0 ,1,0 ,2,2,3,1,1,1,1,3,2,2,4,2,2,1,1,1,1,2,2,4",10,10,http://static.nonograms.org/files/nonograms/large/bik8_12_1_1p.png,Bull
"0 ,0 ,0 ,4,0 ,0 ,1,1,0 ,0 ,1,3,1,2,2,1,0 ,1,2,1,0 ,0 ,1,3,0 ,0 ,0 ,10,2,1,1,2,0 ,0 ,1,1,0 ,0 ,0 ,8",10-Mar,5584,"0 ,0 ,1,1,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,2,2,1,1,2,3,0 ,0 ,0 ,1,1,2,1,1,2,2,1,0 ,5,4,1,1,1,1,1,1,5,5",10,10,http://static.nonograms.org/files/nonograms/large/grib_iz_mario2_12_1_1p.png,The mushroom from Mario
"0 ,5,2,2,2,1,1,1,2,1,3,2,1,1,2,0 ,2,3,0 ,0 ,6,0 ,0 ,6,0 ,1,2,0 ,2,2",10-Apr,7276,"0 ,2,1,1,1,0 ,0 ,0 ,0 ,0 ,5,2,1,3,1,2,0 ,4,1,2,2,1,2,2,2,3,7,2,2,1",10,10,http://static.nonograms.org/files/nonograms/large/lupa2_12_1_1p.png,Magnifier
"0 ,0 ,3,0 ,3,2,2,1,1,0 ,0 ,3,0 ,0 ,4,0 ,2,6,0 ,2,4,0 ,3,2,0 ,4,1,0 ,2,2",10-Mar,7355,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,3,0 ,0 ,1,4,2,0 ,0 ,1,2,1,1,8,6,3,2,3,3,2,1,2",10,10,http://static.nonograms.org/files/nonograms/large/sinichka2_12_1_1p.png,Titmouse
"0 ,0 ,0 ,4,0 ,0 ,2,2,0 ,0 ,1,1,1,1,1,1,0 ,0 ,1,1,0 ,0 ,0 ,10,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1",10-May,5561,"0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,1,0 ,0 ,2,1,0 ,0 ,3,1,1,1,1,1,1,1,1,3,1,3,2,2,3,1,2,3,2,3",10,10,http://static.nonograms.org/files/nonograms/large/meduza4_12_1_1p.png,Medusa
"0 ,2,4,2,0 ,0 ,0 ,6,0 ,0 ,5,4,0 ,0 ,2,2,1,1,1,1,0 ,0 ,1,1,0 ,1,4,1,0 ,1,2,1,0 ,0 ,1,1,0 ,1,6,1",10-Mar,7305,"1,0 ,0 ,3,0 ,0 ,3,0 ,0 ,1,1,1,0 ,1,3,2,1,0 ,1,1,2,4,3,1,2,2,1,3,4,2,1,1,1,1,1,1,1,1,1,1",10,10,http://static.nonograms.org/files/nonograms/large/mishka18_12_1_1p.png,Bear
"0 ,2,0 ,4,2,3,5,1,3,1,0 ,7,2,2,2,3,0 ,4,0 ,1",10-Mar,5557,"0 ,0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,2,0 ,5,1,1,0 ,0 ,0 ,1,3,5,9,2,2,2,3,3,1",10,10,http://static.nonograms.org/files/nonograms/large/ciplyonok3_12_1_1p.png,Chicken
"0 ,0 ,1,0 ,1,1,0 ,0 ,3,0 ,0 ,5,0 ,1,5,1,1,3,0 ,0 ,3,0 ,0 ,5,0 ,0 ,5,0 ,0 ,3",10-Apr,5560,"1,0 ,1,0 ,1,1,0 ,1,0 ,1,2,4,4,4,2,2,4,4,4,2",10,10,http://static.nonograms.org/files/nonograms/large/sledi_12_1_1p.png,Traces
"0 ,0 ,2,2,1,1,1,1,0 ,1,6,1,0 ,0 ,2,2,1,1,1,1,1,1,1,1,0 ,1,2,1,0 ,1,4,1,0 ,0 ,1,1,0 ,0 ,0 ,4",10-Mar,10374,"0 ,0 ,0 ,2,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,1,2,1,1,2,1,0 ,0 ,0 ,1,1,1,2,2,1,1,1,0 ,3,5,1,1,1,1,1,1,5,3",10,10,http://static.nonograms.org/files/nonograms/large/medved11_12_1_1p.png,Bear
"0 ,2,2,0 ,2,4,2,3,1,0 ,0 ,1,1,1,3,0 ,3,3,3,1,2,2,1,1,0 ,3,1,0 ,0 ,1",10-Apr,6547,"0 ,0 ,0 ,1,1,0 ,0 ,2,0 ,0 ,0 ,2,4,1,1,2,3,2,1,1,2,2,2,1,2,3,1,3,3,3",10,10,http://static.nonograms.org/files/nonograms/large/vertushka_12_1_1p.png,Pinwheel
"0 ,0 ,2,2,0 ,0 ,3,3,0 ,1,6,1,0 ,2,2,2,1,1,1,1,0 ,2,2,2,0 ,3,1,3,0 ,1,4,1,0 ,0 ,2,2,0 ,0 ,3,3",10-Mar,10372,"0 ,2,0 ,1,0 ,0 ,1,0 ,2,0 ,0 ,1,2,1,0 ,2,1,2,1,0 ,0 ,2,1,1,2,1,1,1,2,0 ,9,2,1,1,3,1,1,1,2,9",10,10,http://static.nonograms.org/files/nonograms/large/kot26_12_1_1p.png,Cat
"0 ,0 ,4,3,1,1,1,1,1,1,1,2,0 ,1,2,1,0 ,0 ,2,2,0 ,0 ,2,6,1,2,1,1,0 ,0 ,3,3,0 ,1,1,1,0 ,0 ,1,1",10-Apr,9096,"0 ,0 ,1,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,1,1,0 ,0 ,0 ,2,1,1,0 ,3,1,1,2,2,3,4,1,1,3,1,2,1,5,3,1,1,1,3,1",10,10,http://static.nonograms.org/files/nonograms/large/pchyolka4_12_1_1p.png,Bee
"1,1,1,2,1,1,3,1,1,0 ,1,4,0 ,0 ,4,1,1,2,3,1,3,0 ,1,1,0 ,3,2,0 ,1,3",10-Jun,7917,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,2,2,0 ,0 ,0 ,4,1,2,0 ,1,1,1,3,3,0 ,1,2,1,2,1,1,2,1,1,6,2,1,1",10,10,http://static.nonograms.org/files/nonograms/large/los7_12_1_1p.png,Moose
"0 ,0 ,0 ,0 ,10,0 ,0 ,0 ,3,1,0 ,1,1,1,1,0 ,0 ,0 ,0 ,10,0 ,0 ,0 ,4,5,0 ,0 ,0 ,3,4,0 ,0 ,0 ,7,1,0 ,1,1,1,1,0 ,0 ,0 ,1,2,1,1,1,1,2",10-Mar,4954,"1,0 ,1,2,4,2,1,0 ,1,0 ,3,1,6,2,2,2,6,1,3,0 ,2,4,1,1,1,1,1,4,2,10",10,10,http://static.nonograms.org/files/nonograms/large/prizrak_12_1_1p.png,Ghost
"0 ,0 ,1,1,0 ,0 ,2,2,0 ,0 ,0 ,8,0 ,1,3,2,0 ,2,4,2,1,1,1,2,0 ,0 ,0 ,9,0 ,0 ,0 ,2,0 ,0 ,4,1,0 ,0 ,0 ,7",10-Mar,2979,"0 ,0 ,0 ,0 ,0 ,0 ,3,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,1,2,0 ,0 ,0 ,1,2,7,3,0 ,1,1,5,3,4,1,1,1,4,8,2,2,1,2",10,10,http://static.nonograms.org/files/nonograms/large/koshka7_12_1_1p.png,Cat
"0 ,0 ,0 ,2,0 ,0 ,1,1,0 ,0 ,5,1,0 ,0 ,3,4,2,1,1,1,0 ,4,1,1,0 ,2,1,4,0 ,0 ,5,1,0 ,0 ,1,1,0 ,0 ,0 ,2",10-Mar,5569,"0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,1,4,2,1,4,0 ,1,0 ,2,4,2,1,3,1,4,6,1,6",10,10,http://static.nonograms.org/files/nonograms/large/ribka15_12_1_1p.png,Fish
"0 ,0 ,4,4,0 ,1,4,1,0 ,0 ,2,1,1,1,1,2,0 ,0 ,1,1,0 ,0 ,4,1,0 ,1,1,1,2,1,1,1,0 ,1,1,2,0 ,0 ,0 ,8",10-Mar,7703,"0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,4,1,1,1,1,0 ,0 ,1,0 ,3,1,1,1,1,1,2,1,2,4,3,1,1,1,1,4,1,1,2,4",10,10,http://static.nonograms.org/files/nonograms/large/svinka3_12_1_1p.png,Piggy
"0 ,0 ,7,0 ,3,1,2,1,2,0 ,1,3,0 ,1,4,0 ,1,6,0 ,1,7,1,2,3,0 ,2,5,0 ,0 ,7",10-Feb,7650,"0 ,0 ,0 ,0 ,1,1,0 ,0 ,0 ,0 ,0 ,3,2,1,1,2,1,0 ,0 ,0 ,10,2,1,4,5,2,6,8,6,4",10,10,http://static.nonograms.org/files/nonograms/large/in_yan2_12_1_1p.png,Yin and yang
"0 ,0 ,0 ,4,5,0 ,1,2,1,3,0 ,0 ,0 ,4,5,0 ,0 ,0 ,2,3,0 ,0 ,0 ,4,5,0 ,1,1,1,1,1,2,1,1,1,0 ,2,1,1,1,0 ,1,1,1,3,0 ,0 ,0 ,4,5",10-Feb,8762,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3,5,0 ,0 ,0 ,1,5,0 ,0 ,3,1,1,3,0 ,3,3,1,5,3,6,1,1,6,0 ,6,1,2,2,6",10,10,http://static.nonograms.org/files/nonograms/large/sol_i_perec_12_1_1p.png,Salt and pepper
"0 ,0 ,0 ,5,0 ,0 ,1,4,0 ,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0 ,1,1,1,0 ,1,1,1,0 ,3,4,1,0 ,0 ,3,3",10-Mar,7690,"0 ,0 ,1,0 ,1,2,0 ,0 ,0 ,0 ,0 ,1,1,1,2,1,5,1,1,0 ,8,1,5,1,2,1,1,2,1,8",10,10,http://static.nonograms.org/files/nonograms/large/slonik8_12_1_1p.png,Elephant
"0 ,0 ,2,7,0 ,0 ,1,5,0 ,0 ,0 ,2,0 ,0 ,0 ,10,1,2,1,3,0 ,2,3,1,0 ,0 ,2,2,0 ,0 ,0 ,2,0 ,1,3,3,0 ,0 ,2,4",10-Mar,8487,"0 ,1,0 ,0 ,1,0 ,2,0 ,0 ,0 ,2,1,0 ,1,1,2,1,2,0 ,0 ,2,1,0 ,2,1,4,1,3,5,0 ,2,1,3,1,1,1,1,2,4,10",10,10,http://static.nonograms.org/files/nonograms/large/lico7_12_1_1p.png,Face
"0 ,0 ,4,0 ,1,1,0 ,2,1,0 ,3,2,0 ,3,1,0 ,4,1,0 ,1,4,0 ,0 ,9,1,1,1,0 ,0 ,9",10-Mar,5559,"0 ,1,2,0 ,3,4,1,0 ,4,0 ,0 ,1,1,3,1,1,2,1,2,4,4,1,1,3,1,1,1,4,1,1",10,10,http://static.nonograms.org/files/nonograms/large/konki_12_1_1p.png,Skates
"0 ,2,2,0 ,0 ,2,0 ,0 ,1,0 ,1,1,2,2,1,0 ,2,4,0 ,0 ,8,0 ,0 ,8,0 ,1,1,0 ,2,2",10-Mar,7492,"0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,2,0 ,1,4,1,2,2,2,5,2,1,5,4,1,5,2,2",10,10,http://static.nonograms.org/files/nonograms/large/verblyud10_12_1_1p.png,Camel
"0 ,0 ,3,3,1,1,1,1,0 ,1,5,1,0 ,0 ,1,2,0 ,2,1,1,0 ,0 ,1,2,0 ,0 ,5,2,1,2,1,2,0 ,6,1,1,0 ,4,1,2",10-Mar,7716,"0 ,0 ,0 ,0 ,1,0 ,0 ,1,0 ,0 ,0 ,1,3,1,1,1,0 ,1,3,0 ,2,4,1,1,1,1,3,1,3,1,3,2,4,4,2,2,1,1,1,4",10,10,http://static.nonograms.org/files/nonograms/large/korova16_12_1_1p.png,Cow
"4,2,3,3,1,6,1,6,0 ,3,2,2,2,1,2,1,5,1,3,2",10-Mar,7713,"0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,3,1,2,1,2,0 ,0 ,0 ,6,7,5,5,2,2,1,2,2,4,1,2",10,10,http://static.nonograms.org/files/nonograms/large/krolik8_12_1_1p.png,Rabbit
"0 ,2,6,3,3,1,0 ,4,4,0 ,3,2,1,1,2,0 ,0 ,1,0 ,1,3,0 ,3,4,0 ,4,5,0 ,3,6",10-Mar,7487,"0 ,0 ,0 ,1,0 ,0 ,3,0 ,1,0 ,4,5,3,1,1,2,1,4,3,2,3,4,3,1,1,2,3,4,4,6",10,10,http://static.nonograms.org/files/nonograms/large/ribka22_12_1_1p.png,Fish
"0 ,3,3,2,4,2,1,2,1,0 ,1,1,0 ,2,2,0 ,2,2,0 ,2,2,0 ,0 ,4,0 ,0 ,10,0 ,0 ,6",10-Feb,7478,"0 ,2,1,0 ,0 ,0 ,0 ,1,2,0 ,4,2,2,2,2,2,2,2,2,4,1,1,2,4,3,3,4,2,1,1",10,10,http://static.nonograms.org/files/nonograms/large/serdechko2_12_1_1p.png,Heart
"0 ,2,2,0 ,1,1,0 ,0 ,4,0 ,0 ,6,2,2,2,2,2,2,0 ,0 ,8,1,6,1,0 ,2,2,0 ,1,1",10-Mar,7475,"0 ,1,1,3,0 ,0 ,3,1,1,0 ,1,3,6,4,6,6,4,6,3,1",10,10,http://static.nonograms.org/files/nonograms/large/monstrik2_12_1_1p.png,Monster
"0 ,0 ,2,0 ,1,2,0 ,4,1,1,3,1,0 ,3,2,2,2,1,0 ,2,1,0 ,0 ,6,0 ,0 ,2,0 ,0 ,2",10-Mar,7490,"0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,0 ,1,0 ,0 ,0 ,0 ,0 ,3,1,1,5,1,1,0 ,0 ,1,1,2,4,1,3,2,1,4,2",10,10,http://static.nonograms.org/files/nonograms/large/ptichka13_12_1_1p.png,Bird
"0 ,0 ,0 ,4,0 ,0 ,1,3,0 ,0 ,0 ,10,1,1,1,1,0 ,1,2,1,0 ,1,2,1,0 ,1,1,1,0 ,1,2,1,0 ,0 ,1,1,0 ,0 ,0 ,8",10-Mar,21020,"0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,3,0 ,0 ,0 ,0 ,0 ,2,0 ,1,2,2,4,0 ,2,0 ,1,2,2,2,1,1,1,2,2,1,2,1,2,1,1,1,1,2,1,2",10,10,http://static.nonograms.org/files/nonograms/large/kloun42_12_1_1p.png,Clown
"0 ,0 ,0 ,6,1,1,1,1,0 ,2,1,2,1,1,2,1,0 ,1,1,4,0 ,1,2,1,0 ,0 ,0 ,8,0 ,0 ,1,1,0 ,0 ,1,4,0 ,0 ,0 ,2",10-Mar,21021,"0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,5,2,3,0 ,0 ,0 ,4,1,6,2,1,1,1,1,0 ,1,2,2,1,1,1,1,2,5,2",10,10,http://static.nonograms.org/files/nonograms/large/list10_12_1_1p.png,Leaf
"0 ,0 ,0 ,2,0 ,0 ,0 ,9,0 ,2,4,2,0 ,1,3,1,0 ,1,4,2,0 ,0 ,0 ,10,0 ,0 ,0 ,10,1,1,1,1,0 ,0 ,1,1,0 ,0 ,0 ,10",10-Mar,21043,"0 ,2,1,0 ,0 ,0 ,2,1,2,0 ,5,3,2,8,7,6,3,3,3,7,1,1,2,1,1,1,1,1,2,1",10,10,http://static.nonograms.org/files/nonograms/large/skoraya_pomosh4_12_1_1p.png,Ambulance
"1,1,1,1,1,1,0 ,0 ,0 ,0 ,0 ,7,0 ,2,6,2,4,1,0 ,0 ,8,0 ,0 ,7,1,5,1,0 ,0 ,8",10-Feb,21017,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,5,2,1,2,0 ,2,5,1,2,1,1,7,4,7,7,7,1,1,1",10,10,http://static.nonograms.org/files/nonograms/large/chashka_chayu_12_1_1p.png,Cuppa
"0 ,0 ,7,0 ,1,1,0 ,1,1,0 ,0 ,8,0 ,1,1,0 ,0 ,9,0 ,1,1,1,3,1,0 ,1,2,0 ,0 ,8",10-Mar,7485,"0 ,0 ,0 ,1,1,1,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,1,1,1,0 ,0 ,0 ,2,2,1,1,1,1,1,1,0 ,0 ,2,1,1,1,1,1,1,1,3,4,1,1,1,1,1,1,1,5,1",10,10,http://static.nonograms.org/files/nonograms/large/sumka_12_1_1p.png,Bag
"0 ,0 ,0 ,2,0 ,0 ,0 ,1,0 ,0 ,4,5,0 ,4,3,1,0 ,0 ,1,3,1,1,1,1,0 ,0 ,0 ,1,0 ,0 ,0 ,1,0 ,0 ,1,3,0 ,0 ,0 ,10",10-Mar,7707,"0 ,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,0 ,2,0 ,2,0 ,2,0 ,0 ,1,3,3,1,2,1,2,1,2,3,2,1,2,1,1,1,1,1,1,2,3,2",10,10,http://static.nonograms.org/files/nonograms/large/submarina_12_1_1p.png,Submarine
"0 ,0 ,2,0 ,1,1,0 ,1,1,2,2,2,1,6,1,0 ,0 ,10,0 ,0 ,6,0 ,0 ,8,1,6,1,2,4,2",10-Mar,7480,"0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,3,1,0 ,2,1,1,2,0 ,1,3,2,1,5,6,7,7,6,5,1,2",10,10,http://static.nonograms.org/files/nonograms/large/zhuk8_12_1_1p.png,Beetle
"0 ,1,1,0 ,0 ,1,0 ,8,1,1,3,1,0 ,4,1,2,1,1,2,1,1,0 ,2,2,2,1,1,4,1,1",10-Mar,7484,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,1,0 ,0 ,0 ,0 ,1,0 ,2,0 ,0 ,1,1,0 ,3,0 ,1,1,2,1,2,1,6,8,1,3,5,1,2",10,10,http://static.nonograms.org/files/nonograms/large/kokteyl12_12_1_1p.png,Cocktail
"0 ,0 ,0 ,4,0 ,0 ,2,2,0 ,0 ,2,2,0 ,0 ,2,2,0 ,0 ,1,1,0 ,2,2,2,1,2,2,1,1,1,1,1,0 ,0 ,2,2,0 ,0 ,0 ,10",10-Feb,7479,"0 ,2,2,2,1,1,2,2,2,0 ,0 ,1,2,1,1,1,1,2,1,0 ,7,2,1,1,1,1,1,1,2,7",10,10,http://static.nonograms.org/files/nonograms/large/pismo3_12_1_1p.png,Letter
"0 ,0 ,8,3,1,3,0 ,1,2,2,3,1,1,1,1,0 ,1,1,0 ,2,2,0 ,1,2,0 ,3,2,1,3,1",10-Mar,18834,"0 ,0 ,0 ,0 ,0 ,2,0 ,0 ,0 ,0 ,0 ,2,0 ,0 ,1,1,0 ,2,0 ,0 ,6,1,2,1,2,1,1,3,4,0 ,2,3,1,1,1,1,4,1,1,2",10,10,http://static.nonograms.org/files/nonograms/large/dvoynoy_portret_12_1_1p.png,Double Portrait
"0 ,0 ,3,0 ,2,1,1,1,3,0 ,2,3,0 ,3,2,1,3,1,1,2,1,0 ,1,1,0 ,2,3,0 ,6,2",10-Apr,18796,"0 ,0 ,1,0 ,1,0 ,0 ,0 ,0 ,0 ,0 ,2,1,1,1,2,2,1,0 ,0 ,3,3,1,1,2,2,1,1,2,2,3,2,1,1,1,1,2,1,2,1",10,10,http://static.nonograms.org/files/nonograms/large/utka12_12_1_1p.png,Duck
"0 ,0 ,6,0 ,4,3,0 ,5,4,2,3,2,0 ,3,5,0 ,0 ,5,0 ,0 ,3,0 ,0 ,2,1,2,1,0 ,0 ,10",10-Feb,21014,"0 ,0 ,0 ,0 ,0 ,0 ,3,0 ,0 ,0 ,0 ,0 ,3,4,0 ,0 ,1,3,0 ,0 ,3,5,2,1,0 ,1,1,1,4,2,1,2,1,1,10,7,1,1,1,2",10,10,http://static.nonograms.org/files/nonograms/large/derevo20_12_1_1p.png,Tree
"0 ,0 ,2,2,1,1,1,1,0 ,1,5,1,0 ,2,1,2,0 ,0 ,0 ,5,0 ,0 ,3,3,0 ,0 ,1,8,0 ,0 ,1,8,0 ,0 ,1,8,0 ,0 ,0 ,8",10-Feb,21005,"0 ,0 ,1,0 ,0 ,0 ,0 ,0 ,1,0 ,0 ,2,1,1,2,3,2,1,1,2,3,1,5,8,6,4,6,8,5,3",10,10,http://static.nonograms.org/files/nonograms/large/mish21_12_1_1p.png,Mouse
"0 ,0 ,2,1,2,0 ,0 ,0 ,0 ,4,0 ,0 ,0 ,0 ,8,0 ,0 ,2,1,2,1,1,1,1,1,0 ,0 ,0 ,1,1,0 ,2,1,1,2,0 ,0 ,2,1,2,0 ,0 ,0 ,2,3,0 ,0 ,0 ,0 ,4",10-Mar,16851,"0 ,0 ,1,0 ,2,0 ,0 ,1,0 ,0 ,0 ,0 ,1,3,1,0 ,3,1,1,0 ,0 ,2,1,1,1,3,1,1,2,0 ,4,2,2,2,1,2,2,2,2,4",10,10,http://static.nonograms.org/files/nonograms/large/klubnika19_12_1_1p.png,Strawberry
"0 ,1,2,1,0 ,0 ,2,1,0 ,2,1,1,0 ,1,2,1,0 ,0 ,0 ,3,0 ,0 ,2,1,0 ,1,2,1,0 ,0 ,1,3,2,1,1,1,0 ,0 ,0 ,10",10-Feb,16903,"0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,0 ,1,0 ,3,1,0 ,0 ,0 ,0 ,1,0 ,2,0 ,2,2,1,0 ,1,1,1,1,1,8,2,1,1,2,1,5,1,3,1",10,10,http://static.nonograms.org/files/nonograms/large/sobaka_s_myachom_12_1_1p.png,Dog with ball
